street,count,year,directorate,lat,lng,oneway_ratio,feature_count,feature_length,ride_length,features
MIERENDORFFSTR. / TAUROGGENER STR. / TEGELER WEG,1,2017,24,13.3004042,52.5225411,,3,,,4446635-4471976-4603721
MOMMSENSTR. / WILMERSDORFER STR.,2,2017,24,13.3076005,52.5036211,,2,,,4436887-4436890
NEHRINGSTR.,1,2017,24,13.2940433843204,52.5155003082563,0.0,1,465.669764950057,931.339529900114,4515894
NEUE KANTSTR. / WITZLEBENSTR.,2,2017,24,13.292783199999999,52.506738,,2,,,4396015-5544317
NIEBUHRSTR. / WILMERSDORFER STR.,1,2017,24,13.3073229,52.5045743,,2,,,4436887-4490168
NORDHAUSER STR. / SÖMMERINGSTR.,2,2017,24,13.3060507,52.5246609,,2,,,4405479-4410417
OLBERSSTR. / TEGELER WEG,1,2017,24,13.2964407,52.5293284,,2,,,4410459-4446635
OSNABRÜCKER STR. / MIERENDORFFPLATZ,1,2017,24,13.3037741,52.5255828,,2,,,4403876-4475675
OSNABRÜCKER STR. / TEGELER WEG,3,2017,24,13.2974129,52.5264967,,2,,,4403876-4446635
OTTO-SUHR-ALLEE,2,2017,24,13.310475730015,52.5162430905494,1.0,1,3313.05169269065,3313.05169269065,4403985
OTTO-SUHR-ALLEE / RICHARD-WAGNER-STR. / WINTERSTEINSTR. / RICHARD-WAGNER-PLATZ,3,2017,24,13.306553900000003,52.51747138333334,,4,,,4403985-4410420-4410427-377571368
PESTALOZZISTR.,2,2017,24,13.3084986965588,52.5078828383421,0.012696331109616578,1,1725.09103320409,3428.2797394563904,4490163
PESTALOZZISTR. / STEIFENSANDSTR. / SUAREZSTR.,1,2017,24,13.2958302,52.5080886,,3,,,4396011-4490163-4490374
QUEDLINBURGER STR. / SÖMMERINGSTR.,1,2017,24,13.3061356,52.5232905,,2,,,4410417-4471965
REICHWEINDAMM / HECKERDAMM,2,2017,24,13.3020365,52.5394868,,2,,,4068114-4536966
