street,count,year,directorate,lat,lng,features
HAUPTSTR.,3,2015,13,13.3738404612204,52.5951318680356,4045656
HAUPTSTR. / LESSINGSTR. (ENDE),1,2015,13,13.369937,52.5893524,4045656-4765050
HEINRICH-BÖLL-STR. / DIETZGENSTR. / UHLANDSTR.,1,2015,13,13.394055625,52.592518424999994,4764689-4765039-4777119
HEINRICH-MANN-STR. / HERMANN-HESSE-STR.,5,2015,13,13.389674,52.5743269,4764166-4764174
HERMANN-HESSE-STR.,8,2015,13,13.3951271094977,52.5777737106119,4764174
HERTZSTR.,1,2015,13,13.3602275338895,52.5853838767019,27811428
HEYNSTR.,1,2015,13,13.4027461679331,52.5639047510264,23926904
KASTANIENALLEE,3,2015,13,13.3869394622613,52.5912758528996,4777290
KGA FRIEDRICHSHÖHE / PRENZLAUER PROMENADE / ARNOLD-ZWEIG-STR.,2,2015,13,13.4271242,52.56314815,4484351-4632071
KLEMKESTR. / STRAßE VOR SCHÖNHOLZ,1,2015,13,13.3802028,52.5749761,4071972-23984497
KÖRNERSTR. / SCHILLERSTR.,1,2015,13,13.3911795,52.58961295,4765047-4777103
KREUZSTR. / PARKSTR. / SCHÖNHOLZER STR.,3,2015,13,13.3988273,52.57060165,4764162-4764188-4764656
KUCKHOFFSTR.,1,2015,13,13.3926390514569,52.5822158051895,4764815
LUDWIG-QUIDDE-STR. / LUDWIG-QUIDDE-STR.,1,2015,13,13.4419761447098,52.5994485454165,16418955
